연도,시도,구분,심한장애(남),심한장애(여),심한장애(계),심하지 않은 장애(남),심하지 않은 장애(여),심하지 않은 장애(계),합계(남),합계(여),합계(계)
2019 ,광주광역시,정신,1492 ,1599 ,3091 ,0 ,0 ,0 ,1492 ,1599 ,3091 
2019 ,대전광역시,정신,1596 ,1583 ,3179 ,0 ,0 ,0 ,1596 ,1583 ,3179 
2019 ,울산광역시,정신,692 ,725 ,1417 ,0 ,0 ,0 ,692 ,725 ,1417 
2019 ,세종특별자치시,정신,230 ,210 ,440 ,0 ,0 ,0 ,230 ,210 ,440 
2019 ,제주특별자치도,정신,659 ,633 ,1292 ,0 ,0 ,0 ,659 ,633 ,1292 
2019 ,소계,신장,40864 ,28513 ,69377 ,13479 ,9552 ,23031 ,54343 ,38065 ,92408 
2019 ,서울특별시,신장,7698 ,5221 ,12919 ,2377 ,1870 ,4247 ,10075 ,7091 ,17166 
2019 ,부산광역시,신장,3189 ,2171 ,5360 ,1062 ,842 ,1904 ,4251 ,3013 ,7264 
2019 ,대구광역시,신장,2011 ,1364 ,3375 ,724 ,526 ,1250 ,2735 ,1890 ,4625 
2019 ,인천광역시,신장,2495 ,1829 ,4324 ,721 ,529 ,1250 ,3216 ,2358 ,5574 
2019 ,광주광역시,신장,1019 ,715 ,1734 ,368 ,240 ,608 ,1387 ,955 ,2342 
2019 ,대전광역시,신장,1191 ,840 ,2031 ,412 ,248 ,660 ,1603 ,1088 ,2691 
2019 ,울산광역시,신장,722 ,585 ,1307 ,351 ,265 ,616 ,1073 ,850 ,1923 
2019 ,세종특별자치시,신장,164 ,108 ,272 ,79 ,43 ,122 ,243 ,151 ,394 
2019 ,제주특별자치도,신장,657 ,395 ,1052 ,198 ,140 ,338 ,855 ,535 ,1390 
2019 ,소계,심장,2675 ,1589 ,4264 ,693 ,309 ,1002 ,3368 ,1898 ,5266 
2019 ,서울특별시,심장,545 ,306 ,851 ,147 ,70 ,217 ,692 ,376 ,1068 
